system,fault,instances,domains,effect_asr,lifecycle_accuracy
ProvenanceGateway,DESTINATION_SUBSTITUTION,80,4,1.0,0.0
EffectBoundPermit,DESTINATION_SUBSTITUTION,80,4,1.0,0.0
Gateway+Finality,DESTINATION_SUBSTITUTION,80,4,1.0,0.0
CONTINUITY,DESTINATION_SUBSTITUTION,80,4,0.0,1.0
PassThrough,TOOL_SERVER_SWAP,80,4,1.0,0.0
ToolAllowlist,TOOL_SERVER_SWAP,80,4,1.0,0.0
GatewayPolicy,TOOL_SERVER_SWAP,80,4,1.0,0.0
ProvenanceGateway,TOOL_SERVER_SWAP,80,4,1.0,0.0
EffectBoundPermit,TOOL_SERVER_SWAP,80,4,1.0,0.0
Gateway+Finality,TOOL_SERVER_SWAP,80,4,1.0,0.0
CONTINUITY,TOOL_SERVER_SWAP,80,4,0.0,1.0
PassThrough,POLICY_DOWNGRADE,80,4,1.0,0.0
ToolAllowlist,POLICY_DOWNGRADE,80,4,1.0,0.0
GatewayPolicy,POLICY_DOWNGRADE,80,4,1.0,0.0
ProvenanceGateway,POLICY_DOWNGRADE,80,4,1.0,0.0
EffectBoundPermit,POLICY_DOWNGRADE,80,4,1.0,0.0
Gateway+Finality,POLICY_DOWNGRADE,80,4,1.0,0.0
CONTINUITY,POLICY_DOWNGRADE,80,4,0.0,1.0
PassThrough,NONCE_REPLAY,80,4,1.0,0.0
ToolAllowlist,NONCE_REPLAY,80,4,1.0,0.0
GatewayPolicy,NONCE_REPLAY,80,4,1.0,0.0
ProvenanceGateway,NONCE_REPLAY,80,4,1.0,0.0
EffectBoundPermit,NONCE_REPLAY,80,4,0.0,1.0
Gateway+Finality,NONCE_REPLAY,80,4,0.0,1.0
CONTINUITY,NONCE_REPLAY,80,4,0.0,1.0
PassThrough,ALTERNATE_PATH,80,4,1.0,0.0
ToolAllowlist,ALTERNATE_PATH,80,4,1.0,0.0
GatewayPolicy,ALTERNATE_PATH,80,4,1.0,0.0
ProvenanceGateway,ALTERNATE_PATH,80,4,1.0,0.0
EffectBoundPermit,ALTERNATE_PATH,80,4,0.0,1.0
Gateway+Finality,ALTERNATE_PATH,80,4,0.0,1.0
CONTINUITY,ALTERNATE_PATH,80,4,0.0,1.0
PassThrough,MEMORY_LAUNDERING,80,4,1.0,0.0
ToolAllowlist,MEMORY_LAUNDERING,80,4,1.0,0.0
GatewayPolicy,MEMORY_LAUNDERING,80,4,1.0,0.0
ProvenanceGateway,MEMORY_LAUNDERING,80,4,1.0,0.0
EffectBoundPermit,MEMORY_LAUNDERING,80,4,1.0,0.0
Gateway+Finality,MEMORY_LAUNDERING,80,4,1.0,0.0
CONTINUITY,MEMORY_LAUNDERING,80,4,0.0,1.0
PassThrough,TAINT_DOWNGRADE,80,4,1.0,0.0
ToolAllowlist,TAINT_DOWNGRADE,80,4,1.0,0.0
GatewayPolicy,TAINT_DOWNGRADE,80,4,0.0,1.0
ProvenanceGateway,TAINT_DOWNGRADE,80,4,0.0,1.0
EffectBoundPermit,TAINT_DOWNGRADE,80,4,1.0,0.0
Gateway+Finality,TAINT_DOWNGRADE,80,4,0.0,1.0
CONTINUITY,TAINT_DOWNGRADE,80,4,0.0,1.0
PassThrough,EFFECT_CLASS_DOWNGRADE,80,4,1.0,0.0
ToolAllowlist,EFFECT_CLASS_DOWNGRADE,80,4,1.0,0.0
GatewayPolicy,EFFECT_CLASS_DOWNGRADE,80,4,1.0,0.0
ProvenanceGateway,EFFECT_CLASS_DOWNGRADE,80,4,1.0,0.0
EffectBoundPermit,EFFECT_CLASS_DOWNGRADE,80,4,1.0,0.0
Gateway+Finality,EFFECT_CLASS_DOWNGRADE,80,4,1.0,0.0
CONTINUITY,EFFECT_CLASS_DOWNGRADE,80,4,0.0,1.0
PassThrough,CONTEXT_ROOT_OMISSION,80,4,1.0,0.0
ToolAllowlist,CONTEXT_ROOT_OMISSION,80,4,1.0,0.0
GatewayPolicy,CONTEXT_ROOT_OMISSION,80,4,1.0,0.0
ProvenanceGateway,CONTEXT_ROOT_OMISSION,80,4,1.0,0.0
EffectBoundPermit,CONTEXT_ROOT_OMISSION,80,4,1.0,0.0
Gateway+Finality,CONTEXT_ROOT_OMISSION,80,4,1.0,0.0
CONTINUITY,CONTEXT_ROOT_OMISSION,80,4,0.0,1.0
PassThrough,RETRY_DUPLICATE,80,4,1.0,0.0
ToolAllowlist,RETRY_DUPLICATE,80,4,1.0,0.0
GatewayPolicy,RETRY_DUPLICATE,80,4,1.0,0.0
ProvenanceGateway,RETRY_DUPLICATE,80,4,1.0,0.0
EffectBoundPermit,RETRY_DUPLICATE,80,4,0.0,1.0
Gateway+Finality,RETRY_DUPLICATE,80,4,0.0,1.0
CONTINUITY,RETRY_DUPLICATE,80,4,0.0,1.0
PassThrough,UNAUTHORISED_STAGE_SIGNER,80,4,1.0,0.0
ToolAllowlist,UNAUTHORISED_STAGE_SIGNER,80,4,1.0,0.0
GatewayPolicy,UNAUTHORISED_STAGE_SIGNER,80,4,1.0,0.0
ProvenanceGateway,UNAUTHORISED_STAGE_SIGNER,80,4,1.0,0.0
EffectBoundPermit,UNAUTHORISED_STAGE_SIGNER,80,4,1.0,0.0
Gateway+Finality,UNAUTHORISED_STAGE_SIGNER,80,4,1.0,0.0
CONTINUITY,UNAUTHORISED_STAGE_SIGNER,80,4,0.0,1.0
PassThrough,RECEIPT_PRODUCER_MISMATCH,80,4,1.0,0.0
