transitions,p50_ms,p95_ms,mean_ms,bundle_kib
1,2.3470155000000004,2.90190585,2.43111452,8.06640625
3,4.321941000000001,4.856981899999999,4.38850993,12.4326171875
5,6.2586505,7.0930577,6.37642543,16.7724609375
10,11.1550305,12.557684749999998,11.28805339,27.625
20,20.779407,22.684662349999996,21.089632930000004,49.3662109375
